RULENAME,ALIAS,SOURCEA,SOURCEB
MTR_24,MTR_24 SUBS_RES Mismatch,VIDS_MISM_ATTR_PRP_SUBS_RESOR,
MTR_25,MTR_25 SER_I_I Missin METRO,VIDS_PRP_SPR_SERIAL_ITEM_INV,VIDS_METRO_SERIAL_ITEM_INV
MTR_26,MTR_26 SER_IT_I Missin SPR,VIDS_METRO_SERIAL_ITEM_INV,VIDS_PRP_SPR_SERIAL_ITEM_INV
MTR_27,MTR_27 SER_IT_I Mismatch,VIDS_MISM_ATTR_PRP_SERIAL_ITEM_INV,
MTR_28,MTR_28 PTN_IN Missin METRO,VIDS_PRP_SPR_PTN_INV,VIDS_METRO_PTN_INV
MTR_29,MTR_29 PTN_IN Missin SPR,VIDS_METRO_PTN_INV,VIDS_PRP_SPR_PTN_INV
MTR_30,MTR_30 PTN_INV Mismatch,VIDS_MISM_ATTR_PRP_PTN_INV,
MTR_34,MTR_34 MEMO Miss in METRO,VIDS_PRP_SPR_MEMO,VIDS_METRO_MEMO
MTR_35,MTR_35 MEMO Miss in SPR,VIDS_METRO_MEMO,VIDS_PRP_SPR_MEMO
MTR_36,MTR_36 MEMO Mism Attr,VIDS_MISM_ATTR_PRP_MEMO,
MTR_37,MTR_37 EMAILDATA Missin METR,VIDS_PRP_SPR_EMAIL_DATA,VIDS_METRO_EMAIL_DATA
MTR_38,MTR_38 EMAIL_DATA Missin SPR,VIDS_METRO_EMAIL_DATA,VIDS_PRP_SPR_EMAIL_DATA
MTR_39,MTR_39 EMAIL_DATA Mismatch,VIDS_MISM_ATTR_PRP_EMAIL_DATA,
MTR_46,MTR_46 PRE_RC_REGIST MisinMet,VIDS_PRP_SPR_PREPAID_RC_REGIST,VIDS_METRO_PREPAID_RC_REGIST
MTR_47,MTR_47 PRE_RC_REGIST MisinSPR,VIDS_METRO_PREPAID_RC_REGIST,VIDS_PRP_SPR_PREPAID_RC_REGIST
MTR_48,MTR_48 PRE_RC_REGIST Mismat,VIDS_MISM_ATTR_PRP_PREPAID_RC,
MTR_49,MTR_49 PRE_ATR Miss in METRO,VIDS_PRP_SPR_PREPAID_ATTRIBUTES,VIDS_METRO_PREPAID_ATTRIBUTES
MTR_50,MTR_50 PRE_ATR Miss in SPR,VIDS_METRO_PREPAID_ATTRIBUTES,VIDS_PRP_SPR_PREPAID_ATTRIBUTES
MTR_51,MTR_51 PRE_ATR Mismatch,VIDS_MISM_ATTR_PRP_PREPAID_ATTR,
MTR_55,MTR_55 ACT_PORT_REQ Missin MTR,VIDS_PRP_SPR_ACT_PORT_REQUEST,VIDS_METRO_ACT_PORT_REQUEST
MTR_56,MTR_56 ACT_PORT_REQ Missin SPR,VIDS_METRO_ACT_PORT_REQUEST,VIDS_PRP_SPR_ACT_PORT_REQUEST
MTR_57,MTR_57 ACT_PORT_REQ Mismatch,VIDS_MISM_ATTR_PRP_ACT_PORT_REQUEST,
MTR_58,MTR_58 PORT_REQ Missin METRO,VIDS_PRP_SPR_PORT_REQUEST,VIDS_METRO_PORT_REQUEST
MTR_59,MTR_59 PORT_REQ Missin SPR,VIDS_METRO_PORT_REQUEST,VIDS_PRP_SPR_PORT_REQUEST
MTR_60,MTR_60 PORT_REQ Mismatch,VIDS_MISM_ATTR_PRP_PORT_REQUEST,
MTR_61,MTR_61 SUBPORT_REQ Missin ME,VIDS_PRP_SPR_SUB_PORT_REQUEST,VIDS_METRO_SUB_PORT_REQUEST
MTR_62,MTR_62 SUBPORT_REQ Missin SP,VIDS_METRO_SUB_PORT_REQUEST,VIDS_PRP_SPR_SUB_PORT_REQUEST
MTR_63,MTR_63 SUBPORT_REQ Mismatch,VIDS_MISM_ATTR_PRP_SUB_PORT_REQUEST,
MTR_64,MTR_64 FIN_HIST Miss in METRO,VIDS_PRP_SPR_CONV_FINANCIAL_HISTORY,VIDS_METRO_CONV_FINANCIAL_HISTORY
MTR_65,MTR_65 FIN_HIST Miss in SPR,VIDS_METRO_CONV_FINANCIAL_HISTORY,VIDS_PRP_SPR_CONV_FINANCIAL_HISTORY
MTR_66,MTR_66 FIN_HIST Mismatch,VIDS_MISM_ATTR_PRP_CONV_FIN_HISTORY,
MTR_OCS_01,MTR_OCS_01 OCS Bal Validation,VIDS_MTR_OCS_01,
NRT_01,NRT_01 Billing Account Miss,VIDS_NRT_MISS_ATTR_BILLING_ACCOUNT,
NRT_02,NRT_02 Billing Account Mism,VIDS_NRT_MISM_ATTR_BILLING_ACCOUNT,
NRT_03,NRT_03 Customer Miss,VIDS_NRT_MISS_ATTR_CUSTOMER,
NRT_04,NRT_04 Customer Mism,VIDS_NRT_MISM_ATTR_CUSTOMER,
NRT_05,NRT_05 Subscriber Miss,VIDS_NRT_MISS_ATTR_SUBSCRIBER,
NRT_06,NRT_06 Subscriber Mism,VIDS_NRT_MISM_ATTR_SUBSCRIBER,
NRT_07,NRT_07 Physical Device Miss,VIDS_NRT_MISS_ATTR_PHYSICAL_DEVICE,
NRT_08,NRT_08PhysDev_SerialItmInvMism,VIDS_NRT_MISM_ATTR_PHYSICAL_DEVICE,
NRT_09,NRT_09 CTN INV Miss,VIDS_NRT_MISS_ATTR_CTN_INV,
NRT_10,NRT_10 CTN INV Mism,VIDS_NRT_MISM_ATTR_CTN_INV,
NRT_11,NRT_11 Credit Class Miss,VIDS_NRT_MISS_ATTR_CREDIT_HISTORY,
NRT_12,NRT_12 Credit Class Mism,VIDS_NRT_MISM_ATTR_CREDIT_HISTORY,
NRT_13,NRT_13 Service Agreement Miss,VIDS_NRT_MISS_ATTR_SERV_AGRMT,
NRT_14,NRT_14 Service Agreement Mism,VIDS_NRT_MISM_ATTR_SERV_AGRMT,
NRT_15,NRT_15 Service Feature Miss,VIDS_NRT_MISS_ATTR_SERVICE_FEATURE,
NRT_16,NRT_16 Service Feature Mism,VIDS_NRT_MISM_ATTR_SERVICE_FEATURE,
NRT_17,NRT_17 Name Data Miss,VIDS_NRT_MISS_ATTR_NAME_DATA,
NRT_18,NRT_18 Name Data Mism,VIDS_NRT_MISM_ATTR_NAME_DATA,
NRT_19,NRT_19 Address Data Miss,VIDS_NRT_MISS_ATTR_ADDRESS_DATA,
NRT_20,NRT_20 Address Data Mism,VIDS_NRT_MISM_ATTR_ADDRESS_DATA,
NRT_21,NRT_21 Invoice Item Miss,VIDS_NRT_MISS_ATTR_INVOICE_ITEM,
NRT_22,NRT_22 Invoice Item Mism,VIDS_NRT_MISM_ATTR_INVOICE_ITEM,
NRT_27,NRT_27 Deposit History Miss,VIDS_NRT_MISS_ATTR_DEPOSIT_HISTORY,
NRT_28,NRT_28 Deposit History Mism,VIDS_NRT_MISM_ATTR_DEPOSIT_HISTORY,
NRT_29,NRT_29 Payment Miss,VIDS_NRT_MISS_ATTR_PAYMENT,
NRT_30,NRT_30 Payment Mism,VIDS_NRT_MISM_ATTR_PAYMENT,
NRT_31,NRT_31 Payment Activity Miss,VIDS_NRT_MISS_ATTR_PAYMENT_ACTIVITY,
NRT_32,NRT_32 Payment Activity Mism,VIDS_NRT_MISM_ATTR_PAYMENT_ACTIVITY,
NRT_35,NRT_35 BAN Direct Debit Miss,VIDS_NRT_MISS_ATTR_BDD,
NRT_36,NRT_36 BAN Direct Debit Mism,VIDS_NRT_MISM_ATTR_BDD,
NRT_37,NRT_37 BAN Discount Miss,VIDS_NRT_MISS_BAN_DISCOUNT,
NRT_38,NRT_38 BAN Discount Mism,VIDS_NRT_MISM_BAN_DISCOUNT,
NRT_41,NRT_41 Credit Debit Link Miss,VIDS_NRT_MISS_ATTR_CDL,
NRT_42,NRT_42 Credit Debit Link Mism,VIDS_NRT_MISM_ATTR_CDL,
NRT_43,NRT_43 Payment Arangement Miss,VIDS_NRT_MISS_ATTR_PMT_ARGMT,
NRT_44,NRT_44 Payment Arangement Mism,VIDS_NRT_MISM_ATTR_PMT_ARGMT,
PRPSPR_01,PRPSPR_01 Injected BAN Closure,VIDS_PRP_SPR_01,
PRPSPR_02,PRPSPR_02 Injected Sub Closure,VIDS_PRP_SPR_02,
PRPSPR_03,PRPSPR_03 Failed Unlocked Vali,VIDS_PRP_SPR_03,
RPV_01,RPV_01 MKTONE_SUB Miss in TMO,VIDS_SPR_MKTONE_SUBSCR_MGMT,VIDS_TMO_MKTONE_SUBSCR_MGMT
RPV_02,RPV_02 MKTONE_SUB Miss in SPR,VIDS_TMO_MKTONE_SUBSCR_MGMT,VIDS_SPR_MKTONE_SUBSCR_MGMT
RPV_03,RPV_03 MKTONE_SUB Mism,VIDS_MISM_ATTR_MKTONE_SUBSCR_MGMT,
